name,update_time,cars,motorcycles,ev_cars,ev_motorcycles,disabled,lt_8m,gt_8m,scrape_time,hour,english_name,category
長者公寓,2025-10-21 00:42:44,231,100,16,8,4,,,2025-10-21 00:43:02,0.0,Elderly Apartment (Zhǎngzhě Gōngyù),Work
居雅大廈,2025-10-21 00:42:44,0,91,0,9,3,,,2025-10-21 00:43:02,0.0,Ju Ya Building (Jūyǎ Dàshà),Work
快富樓A入口,2025-10-21 00:42:44,11,0,19,0,2,,,2025-10-21 00:43:02,0.0,Kuai Fu Building A Entrance (Kuàifù Lóu A Rùkǒu),Work
快富樓B入口,2025-10-21 00:42:44,6,80,0,8,0,,,2025-10-21 00:43:02,0.0,Kuai Fu Building B Entrance (Kuàifù Lóu B Rùkǒu),Work
李加祿街,2025-10-21 00:42:40,0,4,1,10,1,,,2025-10-21 00:43:02,0.0,Li Jia Lu Street (Lǐ Jiālù Jiē),Work
和諧廣場,2025-10-21 00:42:44,139,111,21,14,7,,,2025-10-21 00:43:02,0.0,Harmony Plaza (Héxié Guǎngchǎng),Residential
沙梨頭街市市政綜合大樓,2025-10-21 00:42:33,51,195,8,7,1,,,2025-10-21 00:43:02,0.0,Sha Li Tou Market Municipal Comprehensive Building (Shālítou Jiēshì Shìzhèng Zōnghé Dàlóu),Work
快盈大廈,2025-10-21 00:42:31,1,20,2,10,2,,,2025-10-21 00:43:02,0.0,Kuai Ying Building (Kuàiyíng Dàshà),Work
快達樓,2025-10-21 00:42:42,93,78,0,2,0,,,2025-10-21 00:43:02,0.0,Kuai Da Building (Kuàidá Lóu),Work
亞馬喇前地,2025-10-21 00:42:44,209,522,15,0,0,,,2025-10-21 00:43:02,0.0,Ya Ma La Front (Yàmǎlā Qiándì),Residential
河邊新街,2025-10-21 00:42:28,2,71,0,15,2,,,2025-10-21 00:43:02,0.0,He Bian Xin Street (Hébiān Xīn Jiē),Work
馬六甲街,2025-10-21 00:42:44,154,550,13,8,4,,,2025-10-21 00:43:02,0.0,Ma Liu Jia Street (Mǎliùjiǎ Jiē),Residential
污水處理站,2025-10-21 00:42:32,0,0,6,0,0,136.0,112.0,2025-10-21 00:43:02,0.0,Sewage Treatment Plant (Wūshuǐ Chǔlǐ Zhàn),Work
氹仔柯維納馬路停車場,2025-10-21 00:42:43,40,0,0,0,0,,,2025-10-21 00:43:02,0.0,Taipa Covina Road Car Park (Dàngzǎi Kēwéinà Mǎlù Tíngchēchǎng),Work
柯維納馬路戶外,2025-10-21 00:42:16,27,27,0,0,2,5.0,,2025-10-21 00:43:02,0.0,Covina Road Outdoor (Kēwéinà Mǎlù Hùwài),Work
青翠樓,2025-10-21 00:42:39,218,314,24,5,4,,,2025-10-21 00:43:02,0.0,Qing Cui Building (Qīngcuì Lóu),Residential
專科大樓,2025-10-21 00:42:23,45,66,3,4,2,,,2025-10-21 00:43:02,0.0,Specialized Building (Zhuānkē Dàlóu),Residential
南灣(栢湖),2025-10-21 00:42:35,319,109,0,7,2,,,2025-10-21 00:43:02,0.0,Nam Van (Pak Lok) (Nán Wān (Bǎi Hú)),Residential
青葱大廈,2025-10-21 00:42:44,7,42,2,8,3,,,2025-10-21 00:43:02,0.0,Qing Cong Building (Qīngcōng Dàshà),Other
青泉樓,2025-10-21 00:42:39,5,5,5,0,1,,,2025-10-21 00:43:02,0.0,Qing Quan Building (Qīngquán Lóu),Other
青怡大廈,2025-10-21 00:42:26,71,118,9,10,3,,,2025-10-21 00:43:02,0.0,Qing Yi Building (Qīngyí Dàshà),Residential
青茂口岸,2025-10-21 00:42:43,116,162,9,13,5,,,2025-10-21 00:43:02,0.0,Qing Mao Border (Qīngmào Kǒu'àn),Residential
青濤大廈,2025-10-21 00:42:39,21,16,7,7,1,,,2025-10-21 00:43:02,0.0,Qing Tao Building (Qīngtāo Dàshà),Residential
青洲坊大廈,2025-10-21 00:42:44,602,820,98,3,15,,,2025-10-21 00:43:02,0.0,Qing Zhou Fang Building (Qīngzhōufāng Dàshà),Work
東城大廈,2025-10-21 00:42:44,443,497,3,0,6,,,2025-10-21 00:43:02,0.0,Dong Cheng Building (Dōngchéng Dàshà),Residential
東創大廈,2025-10-21 00:42:20,280,303,2,0,5,,,2025-10-21 00:43:02,0.0,Dong Chuang Building (Dōngchuàng Dàshà),Residential
東啟大廈,2025-10-21 00:42:14,312,296,3,0,4,,,2025-10-21 00:43:02,0.0,Dong Qi Building (Dōngqǐ Dàshà),Residential
松樹尾,2025-10-21 00:42:39,131,162,10,13,3,,,2025-10-21 00:43:02,0.0,Song Shu Wei (Sōngshù Wěi),Residential
栢力,2025-10-21 00:42:44,219,0,31,0,2,,,2025-10-21 00:43:02,0.0,Bai Li (Bǎi Lì),Work
科學館,2025-10-21 00:42:29,384,399,45,11,20,,,2025-10-21 00:43:02,0.0,Science Museum (Kēxuéguǎn),Residential
栢佳,2025-10-21 00:42:19,138,0,9,0,2,,,2025-10-21 00:43:02,0.0,Bai Jia (Bǎi Jiā),Residential
協和醫院 - 東入口,2025-10-21 00:42:44,179,0,0,0,3,,,2025-10-21 00:43:02,0.0,Kiang Wu Hospital - East Entrance (Xiéhé Yīyuàn - Dōng Rùkǒu),Residential
協和醫院 - 北入口,2025-10-21 00:42:43,402,479,0,0,5,,,2025-10-21 00:43:02,0.0,Kiang Wu Hospital - North Entrance (Xiéhé Yīyuàn - Běi Rùkǒu),Residential
旅遊塔,2025-10-21 00:42:17,80,118,0,0,0,,,2025-10-21 00:43:02,0.0,Tourism Tower (Lǚyóu Tǎ),Work
栢景,2025-10-21 00:42:33,10,0,2,0,2,,,2025-10-21 00:43:02,0.0,Bai Jing (Bǎi Jǐng),Residential
栢樂停車場,2025-10-21 00:42:38,326,287,0,0,0,,,2025-10-21 00:43:02,0.0,Bai Le Car Park (Bǎi Lè Tíngchēchǎng),Residential
栢蕙,2025-10-21 00:42:34,28,0,4,0,3,,,2025-10-21 00:43:02,0.0,Bai Hui (Bǎi Huì),Work
栢寧,2025-10-21 00:42:14,103,0,2,0,2,,,2025-10-21 00:43:02,0.0,Bai Ning (Bǎi Níng),Residential
栢濤,2025-10-21 00:42:40,127,0,11,0,2,,,2025-10-21 00:43:02,0.0,Bai Tao (Bǎi Tāo),Residential
栢港,2025-10-21 00:42:27,38,0,5,0,2,,,2025-10-21 00:43:02,0.0,Bai Gang (Bǎi Gǎng),Residential
栢麗,2025-10-21 00:42:41,1,0,5,0,2,,,2025-10-21 00:43:02,0.0,Bai Li (Bǎi Lì),Work
栢威,2025-10-21 00:42:33,0,11,0,0,3,,,2025-10-21 00:43:02,0.0,Bai Wei (Bǎi Wēi),Residential
黑橋街,2025-10-21 00:42:44,4,46,10,13,0,,,2025-10-21 00:43:02,0.0,Hei Qiao Street (Hēiqiáo Jiē),Work
華士古達嘉馬花園,2025-10-21 00:42:44,11,96,5,12,3,,,2025-10-21 00:43:02,0.0,Jardim de Vasco da Gama (Huáshìgǔ Dá Jiāmǎ Huāyuán),Residential
祐漢公園,2025-10-21 00:42:43,0,299,7,12,6,,,2025-10-21 00:43:02,0.0,Jardim do Pou Hon (Yòuhàn Gōngyuán),Work
港珠澳大橋邊檢大樓東公共停車場,2025-10-21 00:42:35,2856,0,48,0,31,,,2025-10-21 00:43:02,0.0,HZMB Border Inspection Building East Public Car Park (Gǎng Zhū Ào Dàqiáo Biānjiàn Dàlóu Dōng Gōnggòng Tíngchēchǎng),Residential
港珠澳大橋邊檢大樓西停車場,2025-10-21 00:42:44,2822,2001,10,0,32,,,2025-10-21 00:43:02,0.0,HZMB Border Inspection Building West Car Park (Gǎng Zhū Ào Dàqiáo Biānjiàn Dàlóu Xī Tíngchēchǎng),Residential
媽閣交通樞紐停車場,2025-10-21 00:42:43,168,401,0,0,3,,,2025-10-21 00:43:02,0.0,Barra Transport Hub Car Park (Māgé Jiāotōng Shūniǔ Tíngchēchǎng),Work
海灣南街,2025-10-21 00:42:43,25,90,3,13,4,,,2025-10-21 00:43:02,0.0,Baia Sul Street (Hǎiwān Nán Jiē),Work
華士古達嘉馬花園- 東區,2025-10-21 00:42:44,0,0,0,0,0,,,2025-10-21 00:43:02,0.0,Jardim de Vasco da Gama - East Zone (Huáshìgǔ Dá Jiāmǎ Huāyuán - Dōng Qū),Residential
望信,2025-10-21 00:42:44,419,292,0,0,7,,,2025-10-21 00:43:02,0.0,Mong Sin (Wàng Xìn),Residential
望德樓,2025-10-21 00:42:42,244,197,22,0,6,,,2025-10-21 00:43:02,0.0,Mong Tak Building (Wàngdé Lóu),Residential
望廈體育中心,2025-10-21 00:42:15,157,178,11,4,4,,,2025-10-21 00:43:02,0.0,Mong Ha Sports Center (Wàngxià Tǐyù Zhōngxīn),Work
望善樓,2025-10-21 00:42:43,6,152,3,15,4,,,2025-10-21 00:43:02,0.0,Mong Son Building (Wàngshàn Lóu),Work
望賢樓,2025-10-21 00:42:38,10,159,5,10,2,,,2025-10-21 00:43:02,0.0,Mong In Building (Wàngxián Lóu),Residential
湖畔大廈,2025-10-21 00:42:44,21,183,2,13,8,,,2025-10-21 00:43:02,0.0,Lakeview Building (Húpàn Dàshà),Work
業興大廈,2025-10-21 00:42:42,187,571,33,13,4,,,2025-10-21 00:43:02,0.0,Ip Heng Building (Yèxīng Dàshà),Work
蝴蝶谷,2025-10-21 00:42:21,308,158,37,10,5,,,2025-10-21 00:43:02,0.0,Butterfly Valley (Húdié Gǔ),Residential
澳門新批發市場,2025-10-21 00:42:16,104,74,10,9,1,,,2025-10-21 00:43:02,0.0,Macau New Wholesale Market (Àomén Xīn Pīfā Shìchǎng),Residential
蓮花路,2025-10-21 00:42:41,293,474,40,10,7,,,2025-10-21 00:43:02,0.0,Lotus Road (Liánhuā Lù),Residential
"澳門文化中心 停車場現時關閉, 將於2025-10-21 18:00:00陸續重開",,128,34,0,0,2,,,2025-10-21 00:43:02,,"Macau Cultural Center Car Park Currently Closed, Will Reopen Gradually from 2025-10-21 18:00:00 (Àomén Wénhuà Zhōngxīn Tíngchēchǎng Xiànzài Guānbì, Jiāngyú 2025-10-21 18:00:00 Lùxù Zhòng Kāi)",
藝園,2025-10-21 00:42:39,216,335,23,14,4,,,2025-10-21 00:43:02,0.0,Arts Garden (Yì Yuán),Residential
樂群樓,2025-10-21 00:42:43,40,515,33,5,5,,,2025-10-21 00:43:02,0.0,Lok Kuan Building (Lèqún Lóu),Work
麗都,2025-10-21 00:42:43,22,9,0,5,1,,,2025-10-21 00:43:02,0.0,Lei Tu (Lì Dū),Residential
關閘綜合體育場館,2025-10-21 00:42:23,421,527,14,6,9,,,2025-10-21 00:43:02,0.0,Portas do Cerco Sports Complex (Guānzhá Zhōnghé Tǐyù Chǎngguǎn),Other
聯生圓形地,2025-10-21 00:42:38,0,69,0,10,4,,,2025-10-21 00:43:02,0.0,Lin Seng Roundabout (Liánshēng Yuánxíng Dì),Residential
蓮花路 (重型),2025-10-21 01:42:24,0,0,0,0,0,154.0,43.0,2025-10-21 01:43:03,1.0,Lotus Road (Heavy) (Liánhuā Lù (Zhòng Xíng)),Residential
塔石廣場地下上落客區(重型客車),2025-10-21 01:42:41,5,0,0,0,0,,,2025-10-21 01:43:03,1.0,Ta Shi Plaza Underground Drop-off Area (Heavy Vehicle) (Tǎshí Guǎngchǎng Dìxià Shàngluò Kè Qū (Zhòng Xíng Kè Chē)),Work
下環街市,2025-10-21 01:42:33,4,51,2,9,2,,,2025-10-21 01:43:03,1.0,Xia Huan Market (Xià Huán Jiē Shì),Residential
永寧街,2025-10-21 01:42:44,0,0,0,14,1,,,2025-10-21 01:43:03,1.0,Yong Ning Street (Yǒngníng Jiē),Work
交通事務局大樓,2025-10-21 01:42:14,51,143,6,2,2,,,2025-10-21 01:43:03,1.0,Transport Bureau Building (Jiāotōng Shìwùjú Dàlóu),Residential
氹仔中央公園,2025-10-21 01:42:44,350,1183,91,26,14,,,2025-10-21 01:43:03,1.0,Taipa Central Park (Dàngzǎi Zhōngyāng Gōngyuán),Work
日昇樓,2025-10-21 01:42:43,193,258,26,15,4,,,2025-10-21 01:43:03,1.0,Ri Sheng Building (Rìshēng Lóu),Residential
日暉大廈,2025-10-21 01:42:41,2,111,3,12,1,,,2025-10-21 01:43:03,1.0,Ri Hui Building (Rìhuī Dàshà),Residential
台暉樓,2025-10-21 01:42:43,1,30,2,9,2,,,2025-10-21 01:43:03,1.0,Tai Hui Building (Táihuī Lóu),Work
氹仔客運碼頭,2025-10-21 01:42:42,460,152,74,15,16,,,2025-10-21 01:43:03,1.0,Taipa Passenger Terminal (Dàngzǎi Kèyùn Mǎtóu),Residential
何賢公園,2025-10-21 01:42:41,289,450,19,8,4,,,2025-10-21 01:43:03,1.0,He Xian Park (Héxián Gōngyuán),Residential
宋玉生廣場,2025-10-21 01:42:44,501,0,28,0,7,,,2025-10-21 01:43:03,1.0,Song Yu Sheng Square (Sòng Yù Shēng Guǎngchǎng),Residential
長者公寓,2025-10-21 01:42:44,225,99,16,8,4,,,2025-10-21 01:43:03,1.0,Elderly Apartment (Zhǎngzhě Gōngyù),Work
居雅大廈,2025-10-21 01:42:44,0,88,0,9,3,,,2025-10-21 01:43:03,1.0,Ju Ya Building (Jūyǎ Dàshà),Work
快富樓A入口,2025-10-21 01:42:41,10,0,19,0,2,,,2025-10-21 01:43:03,1.0,Kuai Fu Building A Entrance (Kuàifù Lóu A Rùkǒu),Work
快富樓B入口,2025-10-21 01:42:43,6,83,0,8,0,,,2025-10-21 01:43:03,1.0,Kuai Fu Building B Entrance (Kuàifù Lóu B Rùkǒu),Work
李加祿街,2025-10-21 01:42:40,0,3,0,10,1,,,2025-10-21 01:43:03,1.0,Li Jia Lu Street (Lǐ Jiālù Jiē),Work
和諧廣場,2025-10-21 01:42:41,135,111,21,14,7,,,2025-10-21 01:43:03,1.0,Harmony Plaza (Héxié Guǎngchǎng),Residential
沙梨頭街市市政綜合大樓,2025-10-21 01:42:20,52,194,8,7,1,,,2025-10-21 01:43:03,1.0,Sha Li Tou Market Municipal Comprehensive Building (Shālítou Jiēshì Shìzhèng Zōnghé Dàlóu),Work
快盈大廈,2025-10-21 01:42:14,0,20,2,10,2,,,2025-10-21 01:43:03,1.0,Kuai Ying Building (Kuàiyíng Dàshà),Work
快達樓,2025-10-21 01:42:44,88,76,0,2,0,,,2025-10-21 01:43:03,1.0,Kuai Da Building (Kuàidá Lóu),Work
亞馬喇前地,2025-10-21 01:42:43,209,522,15,0,0,,,2025-10-21 01:43:03,1.0,Ya Ma La Front (Yàmǎlā Qiándì),Residential
河邊新街,2025-10-21 01:42:43,0,71,0,15,2,,,2025-10-21 01:43:03,1.0,He Bian Xin Street (Hébiān Xīn Jiē),Work
馬六甲街,2025-10-21 01:42:41,152,551,13,6,4,,,2025-10-21 01:43:03,1.0,Ma Liu Jia Street (Mǎliùjiǎ Jiē),Residential
污水處理站,2025-10-21 01:42:16,0,0,6,0,0,136.0,112.0,2025-10-21 01:43:03,1.0,Sewage Treatment Plant (Wūshuǐ Chǔlǐ Zhàn),Work
氹仔柯維納馬路停車場,2025-10-21 01:42:43,35,0,0,0,0,,,2025-10-21 01:43:03,1.0,Taipa Covina Road Car Park (Dàngzǎi Kēwéinà Mǎlù Tíngchēchǎng),Work
柯維納馬路戶外,2025-10-21 01:42:44,24,27,0,0,2,5.0,,2025-10-21 01:43:03,1.0,Covina Road Outdoor (Kēwéinà Mǎlù Hùwài),Work
青翠樓,2025-10-21 01:42:44,214,312,24,5,4,,,2025-10-21 01:43:03,1.0,Qing Cui Building (Qīngcuì Lóu),Residential
專科大樓,2025-10-21 01:42:21,44,68,4,5,2,,,2025-10-21 01:43:03,1.0,Specialized Building (Zhuānkē Dàlóu),Residential
南灣(栢湖),2025-10-21 01:42:39,318,108,0,7,2,,,2025-10-21 01:43:03,1.0,Nam Van (Pak Lok) (Nán Wān (Bǎi Hú)),Residential
青葱大廈,2025-10-21 01:42:42,3,37,2,8,3,,,2025-10-21 01:43:03,1.0,Qing Cong Building (Qīngcōng Dàshà),Other
青泉樓,2025-10-21 01:42:43,4,5,5,0,1,,,2025-10-21 01:43:03,1.0,Qing Quan Building (Qīngquán Lóu),Other
青怡大廈,2025-10-21 01:42:35,61,117,5,5,3,,,2025-10-21 01:43:03,1.0,Qing Yi Building (Qīngyí Dàshà),Residential
青茂口岸,2025-10-21 01:42:44,119,167,9,14,5,,,2025-10-21 01:43:03,1.0,Qing Mao Border (Qīngmào Kǒu'àn),Residential
青濤大廈,2025-10-21 01:42:33,17,16,7,7,1,,,2025-10-21 01:43:03,1.0,Qing Tao Building (Qīngtāo Dàshà),Residential
青洲坊大廈,2025-10-21 01:42:43,579,826,97,3,15,,,2025-10-21 01:43:03,1.0,Qing Zhou Fang Building (Qīngzhōufāng Dàshà),Work
東城大廈,2025-10-21 01:42:37,443,497,3,0,6,,,2025-10-21 01:43:03,1.0,Dong Cheng Building (Dōngchéng Dàshà),Residential
東創大廈,2025-10-21 01:42:18,280,303,2,0,5,,,2025-10-21 01:43:03,1.0,Dong Chuang Building (Dōngchuàng Dàshà),Residential
東啟大廈,2025-10-21 01:42:39,313,296,3,0,4,,,2025-10-21 01:43:03,1.0,Dong Qi Building (Dōngqǐ Dàshà),Residential
松樹尾,2025-10-21 01:42:43,131,163,10,13,3,,,2025-10-21 01:43:03,1.0,Song Shu Wei (Sōngshù Wěi),Residential
栢力,2025-10-21 01:42:44,220,0,31,0,2,,,2025-10-21 01:43:03,1.0,Bai Li (Bǎi Lì),Work
科學館,2025-10-21 01:42:24,385,399,45,11,20,,,2025-10-21 01:43:03,1.0,Science Museum (Kēxuéguǎn),Residential
栢佳,2025-10-21 01:42:22,138,0,9,0,2,,,2025-10-21 01:43:03,1.0,Bai Jia (Bǎi Jiā),Residential
協和醫院 - 東入口,2025-10-21 01:42:43,179,0,0,0,3,,,2025-10-21 01:43:03,1.0,Kiang Wu Hospital - East Entrance (Xiéhé Yīyuàn - Dōng Rùkǒu),Residential
協和醫院 - 北入口,2025-10-21 01:42:43,402,479,0,0,5,,,2025-10-21 01:43:03,1.0,Kiang Wu Hospital - North Entrance (Xiéhé Yīyuàn - Běi Rùkǒu),Residential
旅遊塔,2025-10-21 01:42:32,80,118,0,0,0,,,2025-10-21 01:43:03,1.0,Tourism Tower (Lǚyóu Tǎ),Work
栢景,2025-10-21 01:42:35,11,0,3,0,2,,,2025-10-21 01:43:03,1.0,Bai Jing (Bǎi Jǐng),Residential
栢樂停車場,2025-10-21 01:42:43,329,287,0,0,0,,,2025-10-21 01:43:03,1.0,Bai Le Car Park (Bǎi Lè Tíngchēchǎng),Residential
栢蕙,2025-10-21 01:42:34,18,0,4,0,3,,,2025-10-21 01:43:03,1.0,Bai Hui (Bǎi Huì),Work
栢寧,2025-10-21 01:42:36,99,0,2,0,2,,,2025-10-21 01:43:03,1.0,Bai Ning (Bǎi Níng),Residential
栢濤,2025-10-21 01:42:30,127,0,11,0,2,,,2025-10-21 01:43:03,1.0,Bai Tao (Bǎi Tāo),Residential
栢港,2025-10-21 01:42:16,33,0,5,0,2,,,2025-10-21 01:43:03,1.0,Bai Gang (Bǎi Gǎng),Residential
栢麗,2025-10-21 01:42:29,0,0,4,0,2,,,2025-10-21 01:43:03,1.0,Bai Li (Bǎi Lì),Work
栢威,2025-10-21 01:42:34,2,6,0,0,3,,,2025-10-21 01:43:03,1.0,Bai Wei (Bǎi Wēi),Residential
黑橋街,2025-10-21 01:42:44,2,46,10,13,0,,,2025-10-21 01:43:03,1.0,Hei Qiao Street (Hēiqiáo Jiē),Work
華士古達嘉馬花園,2025-10-21 01:42:43,1,96,5,12,3,,,2025-10-21 01:43:03,1.0,Jardim de Vasco da Gama (Huáshìgǔ Dá Jiāmǎ Huāyuán),Residential
祐漢公園,2025-10-21 01:42:44,0,297,5,4,6,,,2025-10-21 01:43:03,1.0,Jardim do Pou Hon (Yòuhàn Gōngyuán),Work
港珠澳大橋邊檢大樓東公共停車場,2025-10-21 01:42:36,2864,0,48,0,31,,,2025-10-21 01:43:03,1.0,HZMB Border Inspection Building East Public Car Park (Gǎng Zhū Ào Dàqiáo Biānjiàn Dàlóu Dōng Gōnggòng Tíngchēchǎng),Residential
港珠澳大橋邊檢大樓西停車場,2025-10-21 01:42:26,2827,2001,10,0,32,,,2025-10-21 01:43:03,1.0,HZMB Border Inspection Building West Car Park (Gǎng Zhū Ào Dàqiáo Biānjiàn Dàlóu Xī Tíngchēchǎng),Residential
媽閣交通樞紐停車場,2025-10-21 01:42:43,167,401,0,0,3,,,2025-10-21 01:43:03,1.0,Barra Transport Hub Car Park (Māgé Jiāotōng Shūniǔ Tíngchēchǎng),Work
海灣南街,2025-10-21 01:42:43,10,89,3,14,4,,,2025-10-21 01:43:03,1.0,Baia Sul Street (Hǎiwān Nán Jiē),Work
華士古達嘉馬花園- 東區,2025-10-21 01:42:42,1,0,0,0,0,,,2025-10-21 01:43:03,1.0,Jardim de Vasco da Gama - East Zone (Huáshìgǔ Dá Jiāmǎ Huāyuán - Dōng Qū),Residential
望信,2025-10-21 01:42:43,420,291,0,0,7,,,2025-10-21 01:43:03,1.0,Mong Sin (Wàng Xìn),Residential
望德樓,2025-10-21 01:42:44,241,195,22,0,6,,,2025-10-21 01:43:03,1.0,Mong Tak Building (Wàngdé Lóu),Residential
望廈體育中心,2025-10-21 01:42:38,156,178,11,4,4,,,2025-10-21 01:43:03,1.0,Mong Ha Sports Center (Wàngxià Tǐyù Zhōngxīn),Work
望善樓,2025-10-21 01:42:43,5,149,3,15,4,,,2025-10-21 01:43:03,1.0,Mong Son Building (Wàngshàn Lóu),Work
望賢樓,2025-10-21 01:42:44,9,157,5,10,2,,,2025-10-21 01:43:03,1.0,Mong In Building (Wàngxián Lóu),Residential
湖畔大廈,2025-10-21 01:42:44,12,179,2,13,8,,,2025-10-21 01:43:03,1.0,Lakeview Building (Húpàn Dàshà),Work
業興大廈,2025-10-21 01:42:43,178,569,35,13,4,,,2025-10-21 01:43:03,1.0,Ip Heng Building (Yèxīng Dàshà),Work
蝴蝶谷,2025-10-21 01:42:25,305,158,38,10,5,,,2025-10-21 01:43:03,1.0,Butterfly Valley (Húdié Gǔ),Residential
澳門新批發市場,2025-10-21 01:42:30,104,74,10,9,1,,,2025-10-21 01:43:03,1.0,Macau New Wholesale Market (Àomén Xīn Pīfā Shìchǎng),Residential
蓮花路,2025-10-21 01:42:42,293,474,40,10,7,,,2025-10-21 01:43:03,1.0,Lotus Road (Liánhuā Lù),Residential
"澳門文化中心 停車場現時關閉, 將於2025-10-21 18:00:00陸續重開",,128,34,0,0,2,,,2025-10-21 01:43:03,,"Macau Cultural Center Car Park Currently Closed, Will Reopen Gradually from 2025-10-21 18:00:00 (Àomén Wénhuà Zhōngxīn Tíngchēchǎng Xiànzài Guānbì, Jiāngyú 2025-10-21 18:00:00 Lùxù Zhòng Kāi)",
藝園,2025-10-21 01:42:37,217,336,23,13,4,,,2025-10-21 01:43:03,1.0,Arts Garden (Yì Yuán),Residential
樂群樓,2025-10-21 01:42:44,0,511,32,4,5,,,2025-10-21 01:43:03,1.0,Lok Kuan Building (Lèqún Lóu),Work
麗都,2025-10-21 01:42:44,20,9,0,5,1,,,2025-10-21 01:43:03,1.0,Lei Tu (Lì Dū),Residential
關閘綜合體育場館,2025-10-21 01:42:17,420,535,14,6,8,,,2025-10-21 01:43:03,1.0,Portas do Cerco Sports Complex (Guānzhá Zhōnghé Tǐyù Chǎngguǎn),Other
聯生圓形地,2025-10-21 01:42:42,0,69,0,10,4,,,2025-10-21 01:43:03,1.0,Lin Seng Roundabout (Liánshēng Yuánxíng Dì),Residential
蓮花路 (重型),2025-10-21 02:42:29,0,0,0,0,0,154.0,43.0,2025-10-21 02:43:05,2.0,Lotus Road (Heavy) (Liánhuā Lù (Zhòng Xíng)),Residential
塔石廣場地下上落客區(重型客車),2025-10-21 02:42:44,7,0,0,0,0,,,2025-10-21 02:43:05,2.0,Ta Shi Plaza Underground Drop-off Area (Heavy Vehicle) (Tǎshí Guǎngchǎng Dìxià Shàngluò Kè Qū (Zhòng Xíng Kè Chē)),Work
下環街市,2025-10-21 02:42:39,3,51,2,9,2,,,2025-10-21 02:43:05,2.0,Xia Huan Market (Xià Huán Jiē Shì),Residential
永寧街,2025-10-21 02:42:42,0,1,0,14,1,,,2025-10-21 02:43:05,2.0,Yong Ning Street (Yǒngníng Jiē),Work
交通事務局大樓,2025-10-21 02:42:29,51,143,6,2,2,,,2025-10-21 02:43:05,2.0,Transport Bureau Building (Jiāotōng Shìwùjú Dàlóu),Residential
氹仔中央公園,2025-10-21 02:42:43,337,1182,91,26,14,,,2025-10-21 02:43:05,2.0,Taipa Central Park (Dàngzǎi Zhōngyāng Gōngyuán),Work
日昇樓,2025-10-21 02:42:44,187,253,26,15,4,,,2025-10-21 02:43:05,2.0,Ri Sheng Building (Rìshēng Lóu),Residential
日暉大廈,2025-10-21 02:42:41,1,111,3,12,1,,,2025-10-21 02:43:05,2.0,Ri Hui Building (Rìhuī Dàshà),Residential
台暉樓,2025-10-21 02:42:44,0,28,2,9,2,,,2025-10-21 02:43:05,2.0,Tai Hui Building (Táihuī Lóu),Work
氹仔客運碼頭,2025-10-21 02:42:26,462,152,74,15,16,,,2025-10-21 02:43:05,2.0,Taipa Passenger Terminal (Dàngzǎi Kèyùn Mǎtóu),Residential
何賢公園,2025-10-21 02:42:43,291,450,19,9,4,,,2025-10-21 02:43:05,2.0,He Xian Park (Héxián Gōngyuán),Residential
